geographic_area,indicator,sex,year,child_labour_percentage,Collection_Point,coverage_time,age_group
Eastern and South-Eastern Asia (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,2.679,End of fieldwork,2020-24,5 to 17 years old
Eastern and South-Eastern Asia (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,3.427,End of fieldwork,2020-24,5 to 17 years old
Eastern and South-Eastern Asia (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,3.072,End of fieldwork,2020-24,5 to 17 years old
Economic Community of Central African States (ECCAS),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,18.8,End of fieldwork,2020-24,5 to 17 years old
Economic Community of Central African States (ECCAS),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,19.2,End of fieldwork,2020-24,5 to 17 years old
Economic Community of Central African States (ECCAS),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,19,End of fieldwork,2020-24,5 to 17 years old
Economic Community of West African States (ECOWAS),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,23,End of fieldwork,2020-24,5 to 17 years old
Economic Community of West African States (ECOWAS),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,24.5,End of fieldwork,2020-24,5 to 17 years old
Economic Community of West African States (ECOWAS),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,23.8,End of fieldwork,2020-24,5 to 17 years old
Ecuador,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,4.2,End of fieldwork,2024,5 to 17 years old
Ecuador,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,5.8,End of fieldwork,2024,5 to 17 years old
Ecuador,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,5,End of fieldwork,2024,5 to 17 years old
Egypt,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2023,5.6,End of fieldwork,2023,5 to 17 years old
Egypt,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,11.1,End of fieldwork,2023,5 to 17 years old
Egypt,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,8.5,End of fieldwork,2023,5 to 17 years old
El Salvador,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2023,1.6,End of fieldwork,2023,5 to 17 years old
El Salvador,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,4.1,End of fieldwork,2023,5 to 17 years old
El Salvador,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,2.9,End of fieldwork,2023,5 to 17 years old
Eswatini,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,11.7,End of fieldwork,2021-22,5 to 17 years old
Eswatini,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,11,End of fieldwork,2021-22,5 to 17 years old
Eswatini,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,11.3,End of fieldwork,2021-22,5 to 17 years old
Ethiopia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2021,15.9,End of fieldwork,2021,5 to 17 years old
Ethiopia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2021,21.4,End of fieldwork,2021,5 to 17 years old
Ethiopia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2021,18.7,End of fieldwork,2021,5 to 17 years old
Europe and Central Asia (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,2.606,End of fieldwork,2020-24,5 to 17 years old
Europe and Central Asia (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,4.089,End of fieldwork,2020-24,5 to 17 years old
Europe and Central Asia (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,3.366,End of fieldwork,2020-24,5 to 17 years old
Europe and Northern America (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,0.583,End of fieldwork,2020-24,5 to 17 years old
Europe and Northern America (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,0.977,End of fieldwork,2020-24,5 to 17 years old
Europe and Northern America (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,0.785,End of fieldwork,2020-24,5 to 17 years old
Fiji,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2021,12.3,End of fieldwork,2021,5 to 17 years old
Fiji,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2021,18.8,End of fieldwork,2021,5 to 17 years old
Fiji,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2021,15.6,End of fieldwork,2021,5 to 17 years old
Gabon,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2021,3.9,End of fieldwork,2019-21,5 to 17 years old
Gabon,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2021,7,End of fieldwork,2019-21,5 to 17 years old
Gabon,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2021,5.4,End of fieldwork,2019-21,5 to 17 years old
Gambia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2023,14.1,End of fieldwork,2022-23,5 to 17 years old
Gambia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,16,End of fieldwork,2022-23,5 to 17 years old
Gambia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,15.1,End of fieldwork,2022-23,5 to 17 years old
Ghana,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,5,End of fieldwork,2022,5 to 17 years old
Ghana,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,5.9,End of fieldwork,2022,5 to 17 years old
Ghana,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,5.5,End of fieldwork,2022,5 to 17 years old
Guatemala,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,8.9,End of fieldwork,2022,7 to 17 years old
Guatemala,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,15.5,End of fieldwork,2022,7 to 17 years old
Guatemala,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,12.2,End of fieldwork,2022,7 to 17 years old
Guinea-Bissau,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,30.7,End of fieldwork,2022,5 to 17 years old
Guinea-Bissau,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,30,End of fieldwork,2022,5 to 17 years old
Guinea-Bissau,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,30.4,End of fieldwork,2022,5 to 17 years old
Guyana,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2020,4.6,End of fieldwork,2019-20,5 to 17 years old
Guyana,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2020,5.1,End of fieldwork,2019-20,5 to 17 years old
Guyana,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2020,4.9,End of fieldwork,2019-20,5 to 17 years old
Honduras,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2023,8.2,End of fieldwork,2023,5 to 17 years old
Honduras,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,17.5,End of fieldwork,2023,5 to 17 years old
Honduras,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,12.9,End of fieldwork,2023,5 to 17 years old
India,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,0.3,End of fieldwork,2024,5 to 17 years old
India,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,1.4,End of fieldwork,2024,5 to 17 years old
India,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,0.9,End of fieldwork,2024,5 to 17 years old
Indonesia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2025,1.6,End of fieldwork,2025,5 to 17 years old
Intergovernmental Authority on Development (IGAD),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,20.4,End of fieldwork,2020-24,5 to 17 years old
Intergovernmental Authority on Development (IGAD),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,21.7,End of fieldwork,2020-24,5 to 17 years old
Intergovernmental Authority on Development (IGAD),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,21.1,End of fieldwork,2020-24,5 to 17 years old
Jamaica,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,2.1,End of fieldwork,2022,5 to 17 years old
Jamaica,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,3,End of fieldwork,2022,5 to 17 years old
Jamaica,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,2.6,End of fieldwork,2022,5 to 17 years old
Kazakhstan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,5.5,End of fieldwork,2024,5 to 17 years old
Kazakhstan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,8,End of fieldwork,2024,5 to 17 years old
Kazakhstan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,6.8,End of fieldwork,2024,5 to 17 years old
Kenya,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2021,3.2,End of fieldwork,2021,5 to 17 years old
Kenya,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2021,5.3,End of fieldwork,2021,5 to 17 years old
Kenya,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2021,4.3,End of fieldwork,2021,5 to 17 years old
Kyrgyzstan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2023,14.3,End of fieldwork,2023,5 to 17 years old
Kyrgyzstan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,21.6,End of fieldwork,2023,5 to 17 years old
Kyrgyzstan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,18,End of fieldwork,2023,5 to 17 years old
Lao People's Democratic Republic,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2023,21.4,End of fieldwork,2023,5 to 17 years old
Lao People's Democratic Republic,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,22.2,End of fieldwork,2023,5 to 17 years old
Lao People's Democratic Republic,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,21.8,End of fieldwork,2023,5 to 17 years old
Latin America and the Caribbean (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,3.792,End of fieldwork,2020-24,5 to 17 years old
Latin America and the Caribbean (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,7.174,End of fieldwork,2020-24,5 to 17 years old
Latin America and the Caribbean (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,5.516,End of fieldwork,2020-24,5 to 17 years old
Latin America and the Caribbean (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,3.792,End of fieldwork,2020-24,5 to 17 years old
Latin America and the Caribbean (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,7.174,End of fieldwork,2020-24,5 to 17 years old
Latin America and the Caribbean (UNSDG),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,5.516,End of fieldwork,2020-24,5 to 17 years old
Liberia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2020,21.5,End of fieldwork,2019-20,5 to 17 years old
Liberia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2020,20.8,End of fieldwork,2019-20,5 to 17 years old
Liberia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2020,21.1,End of fieldwork,2019-20,5 to 17 years old
Libya,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2025,1.7,End of fieldwork,2024-25,5 to 17 years old
Libya,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2025,3.6,End of fieldwork,2024-25,5 to 17 years old
Libya,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2025,2.7,End of fieldwork,2024-25,5 to 17 years old
Madagascar,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,25.1,End of fieldwork,2022,5 to 17 years old
Madagascar,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,24.3,End of fieldwork,2022,5 to 17 years old
Madagascar,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,24.7,End of fieldwork,2022,5 to 17 years old
Malawi,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2020,28.1,End of fieldwork,2020,5 to 17 years old
Malawi,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2020,20.1,End of fieldwork,2020,5 to 17 years old
Malawi,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2020,24.1,End of fieldwork,2020,5 to 17 years old
Mali,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2020,19.8,End of fieldwork,2020,5 to 17 years old
Mali,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2020,22.1,End of fieldwork,2020,5 to 17 years old
Mali,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2020,21,End of fieldwork,2020,5 to 17 years old
Mexico,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,2.6,End of fieldwork,2022,5 to 17 years old
Mexico,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,5.9,End of fieldwork,2022,5 to 17 years old
Mexico,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,4.3,End of fieldwork,2022,5 to 17 years old
Middle East and North Africa (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,3.955,End of fieldwork,2020-24,5 to 17 years old
Middle East and North Africa (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,8.65,End of fieldwork,2020-24,5 to 17 years old
Middle East and North Africa (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,6.358,End of fieldwork,2020-24,5 to 17 years old
Mongolia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2023,5.1,End of fieldwork,2023,5 to 17 years old
Mongolia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,6.8,End of fieldwork,2023,5 to 17 years old
Mongolia,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,6,End of fieldwork,2023,5 to 17 years old
Mozambique,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,10.3,End of fieldwork,2022,5 to 17 years old
Mozambique,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,11.6,End of fieldwork,2022,5 to 17 years old
Mozambique,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,10.9,End of fieldwork,2022,5 to 17 years old
